Date,Portfolio_Value,Bank,Month,Equity
2014-07-01,1000.0,11000.0,Jul 2014,12000.0
2014-07-02,1008.84,11000.0,Jul 2014,12008.84
2014-07-03,1018.85,11000.0,Jul 2014,12018.85
2014-07-04,1021.4,11000.0,Jul 2014,12021.4
2014-07-07,1019.67,11000.0,Jul 2014,12019.67
2014-07-08,1007.73,11000.0,Jul 2014,12007.73
2014-07-09,997.28,11000.0,Jul 2014,11997.28
2014-07-10,967.0,11000.0,Jul 2014,11967.0
2014-07-11,981.72,11000.0,Jul 2014,11981.72
2014-07-14,968.99,11000.0,Jul 2014,11968.99
2014-07-15,979.47,11000.0,Jul 2014,11979.47
2014-07-16,989.1,11000.0,Jul 2014,11989.1
2014-07-17,1021.36,11000.0,Jul 2014,12021.36
2014-07-18,1025.13,11000.0,Jul 2014,12025.130000000001
2014-07-21,1044.1,11000.0,Jul 2014,12044.1
2014-07-22,1054.4,11000.0,Jul 2014,12054.4
2014-07-23,1091.09,11000.0,Jul 2014,12091.09
2014-07-24,1111.58,11000.0,Jul 2014,12111.58
2014-07-25,1082.4,11000.0,Jul 2014,12082.4
2014-07-28,1192.36,11000.0,Jul 2014,12192.36
2014-07-30,1189.42,11000.0,Jul 2014,12189.42
2014-07-31,1189.95,11000.0,Jul 2014,12189.95
2014-08-01,2179.31,10000.0,Aug 2014,12179.31
2014-08-04,2196.98,10000.0,Aug 2014,12196.98
2014-08-05,2190.85,10000.0,Aug 2014,12190.85
2014-08-06,2186.02,10000.0,Aug 2014,12186.02
2014-08-07,2175.63,10000.0,Aug 2014,12175.630000000001
2014-08-08,2137.77,10000.0,Aug 2014,12137.77
2014-08-11,2160.04,10000.0,Aug 2014,12160.04
2014-08-12,2150.06,10000.0,Aug 2014,12150.06
2014-08-13,2106.19,10000.0,Aug 2014,12106.19
2014-08-14,2126.81,10000.0,Aug 2014,12126.81
2014-08-18,2148.33,10000.0,Aug 2014,12148.33
2014-08-19,2168.01,10000.0,Aug 2014,12168.01
2014-08-20,2184.69,10000.0,Aug 2014,12184.69
2014-08-21,2187.29,10000.0,Aug 2014,12187.29
2014-08-22,2180.51,10000.0,Aug 2014,12180.51
2014-08-25,2176.72,10000.0,Aug 2014,12176.72
2014-08-26,2165.6,10000.0,Aug 2014,12165.6
2014-08-27,2174.29,10000.0,Aug 2014,12174.29
2014-08-28,2176.95,10000.0,Aug 2014,12176.95
2014-09-01,3224.78,9000.0,Sep 2014,12224.78
2014-09-02,3233.88,9000.0,Sep 2014,12233.880000000001
2014-09-03,3257.41,9000.0,Sep 2014,12257.41
2014-09-04,3274.07,9000.0,Sep 2014,12274.07
2014-09-05,3300.04,9000.0,Sep 2014,12300.04
2014-09-08,3348.36,9000.0,Sep 2014,12348.36
2014-09-09,3360.17,9000.0,Sep 2014,12360.17
2014-09-10,3345.92,9000.0,Sep 2014,12345.92
2014-09-11,3372.01,9000.0,Sep 2014,12372.01
2014-09-12,3414.36,9000.0,Sep 2014,12414.36
2014-09-15,3426.55,9000.0,Sep 2014,12426.55
2014-09-16,3358.3,9000.0,Sep 2014,12358.3
2014-09-17,3346.3,9000.0,Sep 2014,12346.3
2014-09-18,3392.14,9000.0,Sep 2014,12392.14
2014-09-19,3449.34,9000.0,Sep 2014,12449.34
2014-09-22,3458.24,9000.0,Sep 2014,12458.24
2014-09-23,3421.04,9000.0,Sep 2014,12421.04
2014-09-24,3414.37,9000.0,Sep 2014,12414.369999999999
2014-09-25,3366.64,9000.0,Sep 2014,12366.64
2014-09-26,3363.59,9000.0,Sep 2014,12363.59
2014-09-29,3395.17,9000.0,Sep 2014,12395.17
2014-09-30,3419.04,9000.0,Sep 2014,12419.04
2014-10-01,4444.14,8000.0,Oct 2014,12444.14
2014-10-07,4432.77,8000.0,Oct 2014,12432.77
2014-10-08,4398.51,8000.0,Oct 2014,12398.51
2014-10-09,4441.86,8000.0,Oct 2014,12441.86
2014-10-10,4368.05,8000.0,Oct 2014,12368.05
2014-10-13,4379.81,8000.0,Oct 2014,12379.810000000001
2014-10-14,4361.79,8000.0,Oct 2014,12361.79
2014-10-16,4296.01,8000.0,Oct 2014,12296.01
2014-10-17,4279.79,8000.0,Oct 2014,12279.79
2014-10-20,4282.24,8000.0,Oct 2014,12282.24
2014-10-21,4341.04,8000.0,Oct 2014,12341.04
2014-10-22,4390.5,8000.0,Oct 2014,12390.5
2014-10-23,4390.5,8000.0,Oct 2014,12390.5
2014-10-27,4391.75,8000.0,Oct 2014,12391.75
2014-10-28,4346.0,8000.0,Oct 2014,12346.0
2014-10-29,4379.99,8000.0,Oct 2014,12379.99
2014-10-30,4418.82,8000.0,Oct 2014,12418.82
2014-10-31,4435.33,8000.0,Oct 2014,12435.33
2014-11-03,5507.74,7000.0,Nov 2014,12507.74
2014-11-05,5507.96,7000.0,Nov 2014,12507.96
2014-11-07,5626.99,7000.0,Nov 2014,12626.99
2014-11-10,5627.67,7000.0,Nov 2014,12627.67
2014-11-11,5674.77,7000.0,Nov 2014,12674.77
2014-11-12,5754.78,7000.0,Nov 2014,12754.779999999999
2014-11-13,5768.96,7000.0,Nov 2014,12768.96
2014-11-14,5608.46,7000.0,Nov 2014,12608.46
2014-11-17,5595.33,7000.0,Nov 2014,12595.33
2014-11-18,5634.45,7000.0,Nov 2014,12634.45
2014-11-19,5718.93,7000.0,Nov 2014,12718.93
2014-11-20,5718.65,7000.0,Nov 2014,12718.65
2014-11-21,5732.16,7000.0,Nov 2014,12732.16
2014-11-24,5730.58,7000.0,Nov 2014,12730.58
2014-11-25,5662.36,7000.0,Nov 2014,12662.36
2014-11-26,5659.2,7000.0,Nov 2014,12659.2
2014-11-27,5717.47,7000.0,Nov 2014,12717.470000000001
2014-11-28,5751.55,7000.0,Nov 2014,12751.55
2014-12-01,6786.91,6000.0,Dec 2014,12786.91
2014-12-02,6780.76,6000.0,Dec 2014,12780.76
2014-12-03,6808.4,6000.0,Dec 2014,12808.4
2014-12-04,6909.38,6000.0,Dec 2014,12909.380000000001
2014-12-05,6892.12,6000.0,Dec 2014,12892.119999999999
2014-12-08,6824.29,6000.0,Dec 2014,12824.29
2014-12-09,6781.56,6000.0,Dec 2014,12781.560000000001
2014-12-10,6830.13,6000.0,Dec 2014,12830.130000000001
2014-12-11,6823.29,6000.0,Dec 2014,12823.29
2014-12-12,6837.33,6000.0,Dec 2014,12837.33
2014-12-15,6824.42,6000.0,Dec 2014,12824.42
2014-12-16,6651.76,6000.0,Dec 2014,12651.76
2014-12-17,6526.33,6000.0,Dec 2014,12526.33
2014-12-18,6623.54,6000.0,Dec 2014,12623.54
2014-12-19,6594.17,6000.0,Dec 2014,12594.17
2014-12-22,6665.27,6000.0,Dec 2014,12665.27
2014-12-23,6660.16,6000.0,Dec 2014,12660.16
2014-12-24,6661.99,6000.0,Dec 2014,12661.99
2014-12-26,6747.61,6000.0,Dec 2014,12747.61
2014-12-29,6785.49,6000.0,Dec 2014,12785.49
2014-12-30,6835.41,6000.0,Dec 2014,12835.41
2014-12-31,6878.27,6000.0,Dec 2014,12878.27
2015-01-01,7905.97,5000.0,Jan 2015,12905.970000000001
2015-01-02,7926.43,5000.0,Jan 2015,12926.43
